"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Rental of Planter/Plant Pot $6.00",0,"Service","Planter Rental","30","No","No",6,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Planter/Plant Pot $8.00",0,"Service","Planter Rental","31","No","No",8,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Potluck Taupe 14"" Round Floor Planter $3.75",0,"Service","Planter Rental","18","No","No",3.75,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Selection of Plants for Outdoor Planter",0,"Service","Plant Rentals","11","No","No",25,,"Revenue - General","","","Rental of Selection of Plants for Outdoor Planter",,
"Rental of Small Desktop Planter with Plants",0,"Service","Plant Rentals","6","No","No",10.5,,"Revenue - General","","","Rental of Small Desktop Planter with Plants",,
"Rental of Small Plant (Less than 2' in height)",0,"Service","Plant Rentals","1","No","No",11,,"Revenue - General","","","Rental of Small Plant",,
"Rental of Small Plant - Central Bank  (Less than 2' in height)",0,"Service","Plant Rentals","7","No","No",10,,"Revenue - General","","","Rental of Small Plant",,
"Rental of Vista Metallic 10"" Round Floor Planter $5.00",0,"Service","Planter Rental","19","No","No",5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Vista Metallic 14.5"" Round Floor Planter $9.00",0,"Service","Planter Rental","22","No","No",9,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Vista Metallic 6.5"" x 14"" Rectangular Table Top Planter $7.00",0,"Service","Planter Rental","17","No","No",7,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Vista Metallic 7"" Round Table Top Planter $4.00",0,"Service","Planter Rental","16","No","No",4,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Round Flat Plastic Hanging Ornament",34,"Inventory","Souvenirs:Sand & Shells","SSG-48","No","No",11.16,6.47,"Sales of Product Income","Cost of sales","Inventory Asset","Round Flat Plastic Hanging Ornament - SSG-48","Round Flat Plastic Hanging Ornament",20
"Rum Recipes Playing Cards",263,"Inventory","Souvenirs:Playing Cards","Pl Cards 6400","No","No",5.32,2.79,"Sales of Product Income","Cost of sales","Inventory Asset","Rum Recipes Playing Cards - 6400","Rum Recipes Playing Cards",300
"Sales",0,"Service",,,"No","No",,,"Sales","","",,,
"Salt & Pepper Set with Sea, Shells & Starfish",34,"Inventory","Souvenirs:Miscellaneous","16704","No","No",10.19,6.48,"Sales of Product Income","Cost of sales","Inventory Asset","Salt & Pepper Set with Sea, Shells & Starfish - 16704","S/P Set Sea/Shells Starfish",10
"Sand & Shell Bottle with Magnet",15,"Inventory","Souvenirs:Sand & Shells","FS-105B","No","No",5.32,3.16,"Sales of Product Income","Cost of sales","Inventory Asset","Sand & Shell Bottle with Magnet - FS-105B","Sand & Shell Bottle with Magnet",10
"Scallop with Mixes, Shells & Magnet",31,"Inventory","Souvenirs:Sand & Shells","I-1505","No","No",5.8,4.06,"Sales of Product Income","Cost of sales","Inventory Asset","Scallop with Mixes, Shells & Magnet - I-1505","Scallop with Mixes, Shells & Magnet",10
"Sea Horses Magnet",71,"Inventory","Souvenirs:3D Magnets","47035-3DM","No","No",5.81,3.28,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Horses Magnet - 47035","Sea Horses Magnet",10
"Sea Turtle 1 Key Chain",118,"Inventory","Souvenirs:Key Chains","44537","No","No",4.35,1.99,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle 1 Key Chain - 44537","Sea Turtle 1 Key Chain",20
"Sea Turtle 2 Key Chain",32,"Inventory","Souvenirs:Key Chains","55927","No","No",4.35,1.29,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle 2 Key Chain - 55927","Sea Turtle 2 Key Chain",20
"Sea Turtle Life Cycle Guide",36,"Inventory","Souvenirs:Guides","8603","No","No",8.25,3.92,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle Life Cycle Guide","Sea Turtle Life Cycle Card",10
"Sea Turtle Magnet",26,"Inventory","Souvenirs:3D Magnets","47261-3DM","No","No",5.81,4.06,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle Magnet - 47261","Sea Turtle Magnet",10
"Sea Turtle Round Luggage Tag",14,"Inventory","Souvenirs:Luggage Tags","56041","No","No",3.38,1.55,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle Round Luggage Tag - 56041","Sea Turtle Round Luggage Tag",20
"Sea Turtles Blue 3D Bookmark",160,"Inventory","Souvenirs:3D Bookmarks","47261-3DB","No","No",6.3,4.21,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtles Blue 3D Bookmark","Sea Turtles Blue 3D Bookmark - 47261",10
"Seavillain Blue 3D Bookmark",23,"Inventory","Souvenirs:3D Bookmarks","47081-3DB","No","No",6.3,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Seavillain Blue 3D Bookmark","Seavillain Blue 3D Bookmark - 47081",10
"Seavillains Magnet",43,"Inventory","Souvenirs:3D Magnets","47081-3DM","No","No",5.81,3.28,"Sales of Product Income","Cost of sales","Inventory Asset","Seavillains Magnet - 47081","Seavillains Magnet",10
"Shell Plaque Magnet",18,"Inventory","Souvenirs:Sand & Shells","SPM-1","No","No",5.8,3.45,"Sales of Product Income","Cost of sales","Inventory Asset","Shell Plaque Magnet - SPM-1","Shell Plaque Magnet",10
"Shells Playing Cards",52,"Inventory","Souvenirs:Playing Cards","Pl Cards 2700","No","No",5.32,2.79,"Sales of Product Income","Cost of sales","Inventory Asset","Shells Playing Cards - 2700","Shells Playing Cards",50
"Shot Glass Candle",56,"Inventory","Souvenirs:Candles","SG-1","No","No",8.73,5.29,"Sales of Product Income","Cost of sales","Inventory Asset","Shot Glass Candle - SG-1","Shot Glass Candle",10
